Metadata,,,,,,,,
These are the data from the Drosophila selection experiment published in:,,,,,,,,
Scheiner SM and Lyman RF. 1991. The genetics of phenotypic plasticity. II. Response to selection. Journal of Evolutionary Biology 4:23-50.,,,,,,,,
See Materials and Methods section for details.,,,,,,,,
,,,,,,,,
Funding: NIH R01-GM38201,,,,,,,,
,,,,,,,,
Data columns,,,,,,,,
Col 1 = Selection regime (1 = 25C  2 = 19C  3 = Plasticity  4 = Control),,,,,,,,
Col 2 = Selection direction (1 = Up  2 = Down  3 = Control),,,,,,,,
Col 3 = Replicate line (1 or 2),,,,,,,,
Col 4 = Generation (1-16 for 25C and 19C  -21 or -22 for Plasticity and Control),,,,,,,,
Col 5 = Rearing temperature (1 = 25C  2 = 19C),,,,,,,,
Col 6 = Family,,,,,,,,
Col 7 = Replicate vial within family and rearing temperature,,,,,,,,
Col 8 = Individual within vial,,,,,,,,
Col 9 = Thorax length (mm),,,,,,,,
,,,,,,,,
Data,,,,,,,,
________________________________________________________________________,,,,,,,,
4,3,1,1,2,36,1,1,1.102062
4,3,1,1,2,36,1,2,1.126771
4,3,1,1,2,36,1,3,1.030777
4,3,1,1,2,37,1,1,1.032527
4,3,1,1,2,37,1,2,1.085443
4,3,1,1,2,37,1,3,1.038431
4,3,1,1,2,38,1,1,1.086974
4,3,1,1,2,38,1,2,1.076915
4,3,1,1,2,38,1,3,1.097032
4,3,1,1,2,38,2,7,1.086536
4,3,1,1,2,38,2,8,1.090035
4,3,1,1,2,38,2,9,1.113651
4,3,1,1,2,15,1,1,1.060078
4,3,1,1,2,15,1,2,1.082819
4,3,1,1,2,15,1,3,1.042367
4,3,1,1,2,16,1,1,1.088286
4,3,1,1,2,16,1,2,1.090472
4,3,1,1,2,16,1,3,1.124584
4,3,1,1,2,17,1,1,1.072105
4,3,1,1,2,17,1,2,1.063577
4,3,1,1,2,17,1,3,1.057673
4,3,1,1,2,19,1,1,1.12524
4,3,1,1,2,19,1,2,1.113869
4,3,1,1,2,19,1,3,0.981359
4,3,1,1,2,20,1,1,1.09572
4,3,1,1,2,20,1,2,1.104685
4,3,1,1,2,20,1,3,1.099
4,3,1,1,2,22,1,1,1.141421
4,3,1,1,2,22,1,2,1.095283
4,3,1,1,2,22,1,3,1.120429
4,3,1,1,2,23,1,1,1.115837
4,3,1,1,2,23,1,2,1.110808
4,3,1,1,2,23,1,3,1.107528
4,3,1,1,2,13,1,1,1.121304
4,3,1,1,2,13,1,2,1.067294
4,3,1,1,2,13,1,3,1.088942
4,3,1,1,2,12,1,1,1.108184
4,3,1,1,2,12,1,2,1.083694
4,3,1,1,2,12,1,3,1.099875
4,3,1,1,2,9,1,1,1.079321
4,3,1,1,2,9,1,2,1.126114
4,3,1,1,2,9,1,3,1.118899
4,3,1,1,2,8,1,1,1.076915
4,3,1,1,2,8,1,2,1.142733
4,3,1,1,2,8,1,3,1.098344
4,3,1,1,2,3,1,1,1.130925
4,3,1,1,2,3,1,2,1.122835
4,3,1,1,2,4,1,1,1.151042
4,3,1,1,2,4,1,2,1.134424
