Metadata,,,
These are the data from the Drosophila selection experiment published in:,,,
Scheiner SM and Lyman RF. 1989. The genetics of phenotypic plasticity. I. Heritability. Journal of Evolutionary Biology 2:95-107.,,,
See Materials and Methods section for details.,,,
,,,
Funding: NIH R01-GM38201,,,
,,,
Data columns (each line consists of one F1 female),,,
Col 1 = Sire,,,
Col 2 = Dam,,,
Col 3 = Rearing temperature (19C or 25C),,,
Col 4 = Thorax length (mm),,,
,,,
Data,,,
________________________________________________________________________,,,
13,2,19,1.1
13,2,19,1.119
13,2,19,1.098
13,2,25,1.091
13,2,25,1.12
13,2,25,1.086
13,2,25,1.117
13,2,25,1.127
13,2,25,1.083
13,2,25,1.086
13,3,19,1.092
13,3,19,1.099
13,3,19,1.11
13,3,19,1.127
13,3,19,1.078
13,3,19,1.028
13,3,19,1.078
13,3,19,1.022
13,3,19,1.062
13,3,25,1.102
13,3,25,1.079
13,3,25,1.087
13,3,25,1.078
13,3,25,0.944
13,3,25,1.062
14,1,19,1.103
14,1,19,1.102
14,1,19,1.107
14,1,19,1.075
14,1,19,1.13
14,1,19,1.114
14,1,19,1.149
14,1,19,1.114
14,1,19,1.082
14,1,25,1.126
14,1,25,1.087
14,1,25,1.136
14,1,25,1.108
14,1,25,1.062
14,1,25,1.027
14,1,25,1.038
14,1,25,1.027
14,1,25,1.021
14,3,19,1.102
14,3,19,1.147
14,3,19,1.126
14,3,19,1.084
14,3,19,1.071
14,3,19,1.113
14,3,25,1.068
14,3,25,1.092
14,3,25,1.095
14,3,25,1.076
14,3,25,1.068
14,3,25,1.1
14,3,25,1.097
14,3,25,0.964
14,3,25,0.97
15,2,19,1.151
15,2,19,1.136
15,2,19,1.166
15,2,19,1.106
15,2,19,1.133
15,2,19,1.163
15,2,25,1.099
15,2,25,1.146
15,2,25,1.145
15,2,25,1.159
15,2,25,1.119
15,3,19,1.162
15,3,19,1.142
15,3,19,1.149
15,3,19,1.127
15,3,19,1.174
15,3,19,1.164
15,3,19,1.126
15,3,19,1.111
15,3,19,1.108
15,3,25,1.065
15,3,25,1.116
15,3,25,1.099
15,3,25,1.127
15,3,25,1.098
15,3,25,1.095
15,3,25,1.061
15,3,25,1.02
15,3,25,1.113
17,1,19,1.113
17,1,19,1.149
17,1,19,1.108
17,1,19,1.102
17,1,19,1.118
17,1,19,1.146
17,1,19,1.167
17,1,19,1.138
17,1,19,1.134
17,1,25,1.069
17,1,25,1.111
17,1,25,1.113
17,1,25,1.087
17,1,25,1.101
17,1,25,1.106
17,1,25,1.047
17,1,25,1.106
17,2,19,1.146
17,2,19,1.121
17,2,19,1.13
17,2,19,1.108
17,2,19,1.122
17,2,19,1.133
17,2,25,1.177
17,2,25,1.105
17,2,25,1.132
17,2,25,1.13
17,2,25,1.152
17,2,25,1.101
17,2,25,1.065
17,2,25,1.142
17,2,25,1.068
18,2,19,1.121
18,2,19,1.144
18,2,19,1.142
18,2,19,1.166
18,2,19,1.101
18,2,19,1.139
18,2,25,1.153
18,2,25,1.089
18,2,25,1.14
18,2,25,1.125
18,2,25,1.143
18,2,25,1.125
18,2,25,1.085
18,2,25,1.111
18,2,25,1.113
18,3,19,1.156
18,3,19,1.125
18,3,19,1.121
18,3,19,1.14
18,3,19,1.165
18,3,19,1.13
18,3,19,1.106
18,3,19,1.12
18,3,19,1.098
18,3,25,1.028
18,3,25,1.072
18,3,25,1.106
18,3,25,1.118
18,3,25,1.13
18,3,25,1.119
19,2,19,1.134
19,2,19,1.146
19,2,19,1.136
19,2,19,1.103
19,2,19,1.129
19,2,19,1.114
19,2,19,1.107
19,2,25,1.082
19,2,25,1.085
19,2,25,1.032
19,2,25,1.131
19,2,25,1.006
19,2,25,1.092
19,2,25,1.108
19,2,25,1.054
19,2,25,1.087
19,2,25,1.136
19,2,25,1.075
19,2,25,1.089
19,3,19,1.151
19,3,19,1.108
19,3,19,1.144
19,3,25,1.11
19,3,25,0.989
19,3,25,1.098
19,3,25,1.096
19,3,25,1.07
20,2,19,1.095
20,2,19,1.158
20,2,19,1.107
20,2,19,1.126
20,2,19,1.17
20,2,19,1.149
20,2,25,1.06
20,2,25,1.099
20,2,25,1.108
20,3,19,1.119
20,3,19,1.088
20,3,19,1.102
20,3,19,1.143
20,3,25,1.107
20,3,25,1.132
20,3,25,1.085
20,3,25,0.994
20,3,25,1.119
20,3,25,1.09
21,1,19,1.068
21,1,19,1.117
21,1,19,1.094
21,1,19,1.115
21,1,19,1.146
21,1,19,1.121
21,1,25,1.074
21,1,25,1.073
21,1,25,1.115
21,1,25,1.083
21,1,25,1.05
21,3,19,1.102
21,3,19,1.098
21,3,19,1.094
21,3,19,1.116
21,3,19,1.132
21,3,19,1.145
21,3,19,1.147
21,3,19,1.108
21,3,19,1.153
21,3,25,1.071
21,3,25,1.078
21,3,25,1.087
21,3,25,1.04
21,3,25,1.09
21,3,25,1.112
24,1,19,1.083
24,1,19,1.075
24,1,19,1.1
24,1,25,1.093
24,1,25,1.051
24,1,25,1.067
24,1,25,1.108
24,1,25,1.059
24,1,25,1.093
24,2,19,1.104
24,2,19,1.067
24,2,19,1.128
24,2,19,1.094
24,2,19,1.124
24,2,19,1.076
24,2,19,1.114
24,2,19,1.123
24,2,19,1.139
24,2,25,1.105
24,2,25,1.113
