8,3,19,1.106,45,16,34,46,509,2,11,11,73,96,92,67,61,45,14
8,3,25,1.081,42,9,35.66667,61,481,4,18,107,65,64,61,40,42,42,20
8,3,25,1.092,33,11,63.33333,87,734,11,41,189,167,126,45,76,67,11,1
8,3,25,1.085,56,12,53.33333,1,496,10,7,94,160,64,83,21,33,7,2
9,1,19,1.12,64,15,20.66667,39,392,0,2,49,32,62,49,37,48,12,33
9,1,19,1.136,57,16,19.33333,14,280,0,6,5,27,42,42,51,37,34,11
9,1,19,1.024,55,17,26,17,375,2,17,63,60,62,58,39,15,13,22
9,1,19,1.09,78,12,29.33333,4,528,1,5,56,88,78,45,49,35,34,33
9,1,25,1.071,42,8,49,11,621,10,93,136,129,82,69,57,25,12,7
9,1,25,1.048,51,7,45.33333,2,372,18,104,132,82,27,5,1,0,1,0
9,2,19,1.1,48,15,35.33333,34,457,0,16,38,61,106,81,71,16,19,15
9,2,19,1.128,44,14,29,15,388,1,26,47,52,77,80,56,20,14,6
9,2,19,1.086,39,17,17,56,250,4,11,22,38,24,50,21,24,19,14
9,2,19,1.074,12,7,4.33333,4      6,20,2,12,6,0,0,0,0,0,0,0
9,2,25,1.07,49,11,38,0,273,2,40,95,84,35,9,6,2,0,0
9,2,25,1.024,29,7,25.66667,16,234,8,65,75,29,30,18,4,4,1,0
9,2,25,1.066,59,13,30.66667,0,381,11,31,84,71,81,59,43,0,0,0
9,3,19,1.108,69,13,35.33333,2,322,2,6,45,91,88,36,12,5,8,5
9,3,19,1.007,25,15,19,115,209,6,8,12,30,57,43,34,19,0,0
9,3,19,1.071,65,23,24.33333,39,387,0,4,2,9,16,35,41,69,47,59
9,3,19,1.071,72,17,15.66667,2,299,0,0,8,31,34,36,29,41,32,23
9,3,25,1.043,50,9,58,0,534,3,54,174,74,82,54,64,21,6,2
9,3,25,0.986,48,13,53.66667,4,625,6,43,151,140,141,80,10,7,34,9
9,3,25,0.972,33,9,26.66667,77,379,13,47,80,71,37,29,33,29,33,7                                                                 10   1    19            1.139         43            19       23.33333      40            337        14         8            22        26            50            60       49            65      5            11
10,1,19,1.101,45,19,25,110,477,2,6,9,41,60,69,65,47,54,27
10,1,19,1.08,46,11,22,42,295,1,21,48,59,46,38,16,4,19,28                                                                10   1    19            1.103         55            16       28.66667      61            624         8        12            35        74            81            69       60            53     45            56
10,1,25,1.098,39,10,69.33334,91,1007,28,49,206,171,87,149,96,130,27,28                                                                10   1    25            0.982         52            10       75.66666       0            699        24        79           202       143           117            59       57             9      6             3                                                                 10   1    25            1.048         35            12       40.33333      46            449         6        13            56       121            81            87       39            30     10             6
10,1,25,1.107,38,9,55.33333,20,610,8,79,166,114,69,69,62,32,7,3                                                                 10   2    19            1.07          39            13       30.33333     115            520        17         9            32        73            74            72       53            75     42            32
10,2,19,1.066,55,15,19.66667,31,322,0,4,23,36,59,29,26,21,58,14                                                                10   2    19            1.068         37            18       24            93            338         0         3             2        29            52            72       65            49     19            26                                                                10   2    19            1.069         41            21       23.33333      49            326         4         7            11        41            46            51       70            40     24            11                                                                10   2    25            1.108         73            10       46.33333       0            373        13        28           133       118            50            20        8             2      0             0
10,2,25,1.076,44,8,40.66667,35,451,0,47,112,59,63,49,28,37,21,13
10,2,25,1.078,51,9,63,0,586,11,65,189,149,122,44,5,0,0,1                                                                 11   1    19            1.127         58            13       28.33333      12            429         2         8            36        64            65            62       65            33     36            14
11,1,19,1.146,70,14,30.33333,22,631,0,16,10,57,87,61,80,69,49,26
11,1,19,1.146,28,22,28.33333,221,364,1,17,16,35,63,60,67,73,32,0
11,1,19,1.135,61,14,26,7,355,11,7,9,47,63,66,50,34,31,16                                                                11   1    25            1.127         48             9       52            53            676        34        61           156       102            84            58       62            32     14            20
11,1,25,1.083,9,7,28.66667,87,135,40,44,51,0,0,0,0,0,0,0
11,2,19,1.092,47,13,43.66667,75,768,7,10,39,113,121,107,98,96,76,33
11,2,19,1.043,69,15,24.66667,5,326,2,28,55,42,74,55,9,8,9,11
11,2,19,1.057,63,17,31.33333,8,407,4,9,9,49,90,81,72,26,25,11
11,2,19,1.124,72,18,25.66667,11,435,7,9,7,43,69,77,65,45,33,16
11,2,25,1.073,36,9,55.66667,0,476,56,50,167,93,69,41,0,0,0,0
11,2,25,1.1,38,6,42.66667,30,548,40,128,76,106,94,49,19,11,12,13
11,2,25,1.096,37,5,8,1,55,5,19,2,13,3,6,4,2,1,0
